question_id,split_name,task_family,answer_source
27333,single_train,single,multi-span
27326,single_train,single,non-extractive
27325,single_train,single,multi-span
27328,single_train,single,question-span
27327,single_train,single,image-span
27323,single_train,single,image-span
27329,single_train,single,multi-span
83960,single_train,single,question-span
83965,single_train,single,non-extractive
83966,single_train,single,non-extractive
83956,single_train,single,multi-span
83962,single_train,single,image-span
83959,single_train,single,question-span
83964,single_train,single,non-extractive
83963,single_train,single,image-span
83961,single_train,single,image-span
83955,single_train,single,multi-span
83958,single_train,single,question-span
83957,single_train,single,multi-span
69070,single_train,single,question-span
69065,single_train,single,image-span
69067,single_train,single,multi-span
69061,single_train,single,image-span
69062,single_train,single,question-span
69071,single_train,single,multi-span
69069,single_train,single,image-span
69068,single_train,single,non-extractive
69066,single_train,single,question-span
69063,single_train,single,multi-span
165261,single_train,single,multi-span
165266,single_train,single,image-span
165263,single_train,single,image-span
165264,single_train,single,multi-span
165265,single_train,single,non-extractive
165262,single_train,single,non-extractive
165260,single_train,single,image-span
127015,single_train,single,multi-span
127018,single_train,single,question-span
127019,single_train,single,non-extractive
127021,single_train,single,question-span
127017,single_train,single,image-span
127023,single_train,single,non-extractive
127016,single_train,single,non-extractive
127014,single_train,single,question-span
127022,single_train,single,multi-span
100254,single_train,single,non-extractive
100253,single_train,single,multi-span
100260,single_train,single,non-extractive
100258,single_train,single,non-extractive
2901,single_train,single,non-extractive
2907,single_train,single,question-span
2902,single_train,single,image-span
2899,single_train,single,question-span
2905,single_train,single,non-extractive
2898,single_train,single,image-span
217,single_train,single,non-extractive
221,single_train,single,question-span
214,single_train,single,image-span
99903,single_train,single,non-extractive
99899,single_train,single,non-extractive
99902,single_train,single,multi-span
99897,single_train,single,question-span
99900,single_train,single,image-span
164926,single_train,single,multi-span
164929,single_train,single,multi-span
164923,single_train,single,non-extractive
164920,single_train,single,image-span
164924,single_train,single,image-span
164927,single_train,single,non-extractive
164921,single_train,single,question-span
113971,single_train,single,question-span
113969,single_train,single,multi-span
113967,single_train,single,image-span
113970,single_train,single,image-span
113972,single_train,single,multi-span
113973,single_train,single,non-extractive
113968,single_train,single,question-span
113976,single_train,single,non-extractive
104318,single_train,single,non-extractive
104313,single_train,single,multi-span
104315,single_train,single,image-span
104320,single_train,single,multi-span
104317,single_train,single,multi-span
104314,single_train,single,non-extractive
104312,single_train,single,question-span
104311,single_train,single,image-span
104316,single_train,single,question-span
40689,single_train,single,multi-span
40693,single_train,single,non-extractive
40690,single_train,single,non-extractive
40691,single_train,single,question-span
40692,single_train,single,multi-span
40688,single_train,single,question-span
40687,single_train,single,image-span
46120,single_train,single,multi-span
46113,single_train,single,image-span
46116,single_train,single,question-span
46118,single_train,single,non-extractive
46119,single_train,single,question-span
46114,single_train,single,multi-span
41699,single_train,single,image-span
41708,single_train,single,non-extractive
41703,single_train,single,image-span
41704,single_train,single,multi-span
41707,single_train,single,question-span
41701,single_train,single,multi-span
41700,single_train,single,question-span
41702,single_train,single,non-extractive
41705,single_train,single,non-extractive
112048,single_train,single,multi-span
112046,single_train,single,image-span
112043,single_train,single,question-span
112051,single_train,single,multi-span
112044,single_train,single,multi-span
112050,single_train,single,question-span
112047,single_train,single,question-span
112045,single_train,single,non-extractive
112042,single_train,single,image-span
112049,single_train,single,non-extractive
116171,single_train,single,multi-span
116169,single_train,single,image-span
116174,single_train,single,multi-span
116173,single_train,single,question-span
116175,single_train,single,non-extractive
116170,single_train,single,question-span
116176,single_train,single,image-span
116172,single_train,single,non-extractive
47988,single_train,single,non-extractive
47984,single_train,single,image-span
47982,single_train,single,question-span
47985,single_train,single,image-span
37303,single_train,single,non-extractive
37304,single_train,single,image-span
37298,single_train,single,question-span
37301,single_train,single,image-span
37302,single_train,single,multi-span
37299,single_train,single,multi-span
37305,single_train,single,question-span
37297,single_train,single,image-span
37300,single_train,single,non-extractive
153844,single_train,single,multi-span
153838,single_train,single,multi-span
153841,single_train,single,non-extractive
153836,single_train,single,image-span
153840,single_train,single,image-span
153839,single_train,single,non-extractive
153843,single_train,single,question-span
153837,single_train,single,question-span
110748,single_train,single,multi-span
110746,single_train,single,multi-span
110751,single_train,single,multi-span
110749,single_train,single,non-extractive
110744,single_train,single,image-span
110752,single_train,single,non-extractive
110747,single_train,single,non-extractive
37397,single_train,single,image-span
37400,single_train,single,non-extractive
37401,single_train,single,image-span
37405,single_train,single,multi-span
37399,single_train,single,multi-span
122732,single_train,single,image-span
122724,single_train,single,multi-span
122734,single_train,single,image-span
122731,single_train,single,image-span
122727,single_train,single,multi-span
122729,single_train,single,question-span
122733,single_train,single,image-span
122725,single_train,single,multi-span
122730,single_train,single,question-span
122726,single_train,single,multi-span
122728,single_train,single,question-span
56234,single_train,single,question-span
56237,single_train,single,image-span
56238,single_train,single,image-span
56233,single_train,single,multi-span
56235,single_train,single,question-span
49140,single_train,single,question-span
49143,single_train,single,image-span
49137,single_train,single,multi-span
49136,single_train,single,multi-span
49142,single_train,single,image-span
49139,single_train,single,question-span
49135,single_train,single,multi-span
49141,single_train,single,image-span
49138,single_train,single,question-span
33016,single_train,single,question-span
33013,single_train,single,question-span
33014,single_train,single,multi-span
33012,single_train,single,image-span
33017,single_train,single,multi-span
33018,single_train,single,non-extractive
65143,single_train,single,multi-span
65144,single_train,single,non-extractive
65145,single_train,single,image-span
65151,single_train,single,non-extractive
65148,single_train,single,non-extractive
65142,single_train,single,question-span
65141,single_train,single,image-span
65146,single_train,single,question-span
65149,single_train,single,image-span
65147,single_train,single,multi-span
46564,single_train,single,image-span
46566,single_train,single,multi-span
46565,single_train,single,question-span
46567,single_train,single,non-extractive
46571,single_train,single,non-extractive
15194,single_train,single,question-span
15196,single_train,single,non-extractive
15197,single_train,single,image-span
15195,single_train,single,multi-span
15200,single_train,single,non-extractive
15199,single_train,single,multi-span
154019,single_train,single,multi-span
154018,single_train,single,question-span
154017,single_train,single,image-span
154020,single_train,single,non-extractive
154024,single_train,single,non-extractive
150384,single_train,single,question-span
150387,single_train,single,image-span
150383,single_train,single,image-span
150388,single_train,single,question-span
150393,single_train,single,non-extractive
150389,single_train,single,multi-span
150386,single_train,single,non-extractive
150385,single_train,single,multi-span
84325,single_train,single,image-span
84319,single_train,single,multi-span
84326,single_train,single,non-extractive
84322,single_train,single,question-span
84320,single_train,single,multi-span
84324,single_train,single,image-span
84323,single_train,single,question-span
84321,single_train,single,multi-span
84327,single_train,single,non-extractive
98740,single_train,single,multi-span
98745,single_train,single,non-extractive
98741,single_train,single,non-extractive
98744,single_train,single,multi-span
10424,single_train,single,multi-span
10419,single_train,single,image-span
10421,single_train,single,multi-span
10423,single_train,single,image-span
10418,single_train,single,non-extractive
10422,single_train,single,non-extractive
10416,single_train,single,question-span
10420,single_train,single,question-span
10425,single_train,single,non-extractive
10417,single_train,single,multi-span
