question_id,split_name,task_family,answer_tokens,short_answer_le_3_tokens
27333,single_train,single,35,False
27326,single_train,single,1,True
27325,single_train,single,38,False
27328,single_train,single,1,True
27327,single_train,single,10,False
27323,single_train,single,3,True
27329,single_train,single,27,False
83960,single_train,single,2,True
83965,single_train,single,1,True
83966,single_train,single,1,True
83956,single_train,single,12,False
83962,single_train,single,1,True
83959,single_train,single,4,False
83964,single_train,single,1,True
83963,single_train,single,1,True
83961,single_train,single,3,True
83955,single_train,single,18,False
83958,single_train,single,1,True
83957,single_train,single,10,False
69070,single_train,single,19,False
69065,single_train,single,4,False
69067,single_train,single,51,False
69061,single_train,single,18,False
69062,single_train,single,11,False
69071,single_train,single,5,False
69069,single_train,single,4,False
69068,single_train,single,1,True
69066,single_train,single,2,True
69063,single_train,single,5,False
165261,single_train,single,12,False
165266,single_train,single,4,False
165263,single_train,single,7,False
165264,single_train,single,18,False
165265,single_train,single,1,True
165262,single_train,single,1,True
165260,single_train,single,1,True
127015,single_train,single,47,False
127018,single_train,single,4,False
127019,single_train,single,1,True
127021,single_train,single,4,False
127017,single_train,single,10,False
127023,single_train,single,1,True
127016,single_train,single,1,True
127014,single_train,single,7,False
127022,single_train,single,8,False
100254,single_train,single,1,True
100253,single_train,single,7,False
100260,single_train,single,1,True
100258,single_train,single,1,True
2901,single_train,single,1,True
2907,single_train,single,1,True
2902,single_train,single,17,False
2899,single_train,single,1,True
2905,single_train,single,1,True
2898,single_train,single,4,False
217,single_train,single,1,True
221,single_train,single,3,True
214,single_train,single,6,False
99903,single_train,single,1,True
99899,single_train,single,1,True
99902,single_train,single,2,True
99897,single_train,single,5,False
99900,single_train,single,1,True
164926,single_train,single,5,False
164929,single_train,single,6,False
164923,single_train,single,1,True
164920,single_train,single,2,True
164924,single_train,single,1,True
164927,single_train,single,1,True
164921,single_train,single,5,False
113971,single_train,single,6,False
113969,single_train,single,9,False
113967,single_train,single,3,True
113970,single_train,single,1,True
113972,single_train,single,14,False
113973,single_train,single,1,True
113968,single_train,single,6,False
113976,single_train,single,1,True
104318,single_train,single,1,True
104313,single_train,single,52,False
104315,single_train,single,5,False
104320,single_train,single,13,False
104317,single_train,single,25,False
104314,single_train,single,1,True
104312,single_train,single,5,False
104311,single_train,single,4,False
104316,single_train,single,14,False
40689,single_train,single,10,False
40693,single_train,single,1,True
40690,single_train,single,1,True
40691,single_train,single,3,True
40692,single_train,single,4,False
40688,single_train,single,3,True
40687,single_train,single,4,False
46120,single_train,single,3,True
46113,single_train,single,2,True
46116,single_train,single,1,True
46118,single_train,single,1,True
46119,single_train,single,1,True
46114,single_train,single,15,False
41699,single_train,single,2,True
41708,single_train,single,1,True
41703,single_train,single,5,False
41704,single_train,single,10,False
41707,single_train,single,2,True
41701,single_train,single,10,False
41700,single_train,single,2,True
41702,single_train,single,1,True
41705,single_train,single,1,True
112048,single_train,single,8,False
112046,single_train,single,4,False
112043,single_train,single,1,True
112051,single_train,single,12,False
112044,single_train,single,9,False
112050,single_train,single,2,True
112047,single_train,single,3,True
112045,single_train,single,1,True
112042,single_train,single,1,True
112049,single_train,single,1,True
116171,single_train,single,2,True
116169,single_train,single,1,True
116174,single_train,single,17,False
116173,single_train,single,4,False
116175,single_train,single,1,True
116170,single_train,single,2,True
116176,single_train,single,3,True
116172,single_train,single,1,True
47988,single_train,single,1,True
47984,single_train,single,3,True
47982,single_train,single,3,True
47985,single_train,single,3,True
37303,single_train,single,1,True
37304,single_train,single,5,False
37298,single_train,single,2,True
37301,single_train,single,1,True
37302,single_train,single,18,False
37299,single_train,single,12,False
37305,single_train,single,6,False
37297,single_train,single,6,False
37300,single_train,single,1,True
153844,single_train,single,3,True
153838,single_train,single,12,False
153841,single_train,single,1,True
153836,single_train,single,2,True
153840,single_train,single,5,False
153839,single_train,single,1,True
153843,single_train,single,1,True
153837,single_train,single,1,True
110748,single_train,single,8,False
110746,single_train,single,7,False
110751,single_train,single,2,True
110749,single_train,single,1,True
110744,single_train,single,1,True
110752,single_train,single,1,True
110747,single_train,single,1,True
37397,single_train,single,9,False
37400,single_train,single,1,True
37401,single_train,single,6,False
37405,single_train,single,10,False
37399,single_train,single,2,True
122732,single_train,single,2,True
122724,single_train,single,3,True
122734,single_train,single,2,True
122731,single_train,single,2,True
122727,single_train,single,3,True
122729,single_train,single,1,True
122733,single_train,single,2,True
122725,single_train,single,3,True
122730,single_train,single,1,True
122726,single_train,single,9,False
122728,single_train,single,1,True
56234,single_train,single,2,True
56237,single_train,single,3,True
56238,single_train,single,3,True
56233,single_train,single,8,False
56235,single_train,single,3,True
49140,single_train,single,11,False
49143,single_train,single,3,True
49137,single_train,single,10,False
49136,single_train,single,46,False
49142,single_train,single,7,False
49139,single_train,single,2,True
49135,single_train,single,23,False
49141,single_train,single,3,True
49138,single_train,single,2,True
33016,single_train,single,3,True
33013,single_train,single,3,True
33014,single_train,single,6,False
33012,single_train,single,3,True
33017,single_train,single,8,False
33018,single_train,single,1,True
65143,single_train,single,9,False
65144,single_train,single,1,True
65145,single_train,single,8,False
65151,single_train,single,1,True
65148,single_train,single,1,True
65142,single_train,single,2,True
65141,single_train,single,10,False
65146,single_train,single,2,True
65149,single_train,single,3,True
65147,single_train,single,21,False
46564,single_train,single,5,False
46566,single_train,single,18,False
46565,single_train,single,1,True
46567,single_train,single,1,True
46571,single_train,single,1,True
15194,single_train,single,2,True
15196,single_train,single,1,True
15197,single_train,single,11,False
15195,single_train,single,4,False
15200,single_train,single,1,True
15199,single_train,single,15,False
154019,single_train,single,6,False
154018,single_train,single,37,False
154017,single_train,single,10,False
154020,single_train,single,1,True
154024,single_train,single,1,True
150384,single_train,single,2,True
150387,single_train,single,15,False
150383,single_train,single,2,True
150388,single_train,single,2,True
150393,single_train,single,1,True
150389,single_train,single,3,True
150386,single_train,single,1,True
150385,single_train,single,5,False
84325,single_train,single,2,True
84319,single_train,single,2,True
84326,single_train,single,1,True
84322,single_train,single,5,False
84320,single_train,single,2,True
84324,single_train,single,1,True
84323,single_train,single,3,True
84321,single_train,single,2,True
84327,single_train,single,1,True
98740,single_train,single,11,False
98745,single_train,single,1,True
98741,single_train,single,1,True
98744,single_train,single,33,False
10424,single_train,single,3,True
10419,single_train,single,4,False
10421,single_train,single,15,False
10423,single_train,single,6,False
10418,single_train,single,1,True
10422,single_train,single,1,True
10416,single_train,single,1,True
10420,single_train,single,2,True
10425,single_train,single,1,True
10417,single_train,single,10,False
10415,single_train,single,2,True
6792,single_train,single,6,False
6785,single_train,single,15,False
6780,single_train,single,3,True
6783,single_train,single,1,True
6782,single_train,single,1,True
6781,single_train,single,10,False
6784,single_train,single,4,False
6779,single_train,single,1,True
6788,single_train,single,2,True
6791,single_train,single,7,False
6790,single_train,single,1,True
6786,single_train,single,1,True
6789,single_train,single,9,False
6787,single_train,single,1,True
137939,single_train,single,1,True
137936,single_train,single,2,True
137938,single_train,single,3,True
137943,single_train,single,1,True
137937,single_train,single,2,True
137941,single_train,single,2,True
153863,single_train,single,1,True
153870,single_train,single,1,True
153865,single_train,single,2,True
153864,single_train,single,1,True
153860,single_train,single,4,False
153862,single_train,single,9,False
153866,single_train,single,6,False
107171,single_train,single,2,True
107169,single_train,single,2,True
107165,single_train,single,2,True
107168,single_train,single,14,False
107167,single_train,single,1,True
107164,single_train,single,6,False
107166,single_train,single,13,False
107172,single_train,single,2,True
107170,single_train,single,3,True
83772,single_train,single,1,True
83771,single_train,single,1,True
83764,single_train,single,2,True
83773,single_train,single,1,True
83770,single_train,single,1,True
83763,single_train,single,3,True
148695,single_train,single,2,True
148690,single_train,single,2,True
148699,single_train,single,2,True
148692,single_train,single,6,False
148693,single_train,single,1,True
148696,single_train,single,3,True
148697,single_train,single,1,True
148698,single_train,single,2,True
148694,single_train,single,13,False
60431,single_train,single,3,True
60434,single_train,single,6,False
60435,single_train,single,1,True
60433,single_train,single,4,False
112448,single_train,single,9,False
112445,single_train,single,12,False
