level,scope_name,answer_source,count,ratio
overall,overall,image-span,3612,0.176981
overall,overall,question-span,3455,0.169288
overall,overall,Multi-Image Spans,3445,0.168798
overall,overall,multi-span,3428,0.167965
overall,overall,non-extractive,3400,0.166593
overall,overall,Non-Span,1856,0.09094
overall,overall,Cross-Image Synthesis,1213,0.059435
task_family,single,image-span,3612,0.25995
task_family,single,question-span,3455,0.248651
task_family,single,multi-span,3428,0.246707
task_family,single,non-extractive,3400,0.244692
task_family,multi,Multi-Image Spans,3445,0.528861
task_family,multi,Non-Span,1856,0.284925
task_family,multi,Cross-Image Synthesis,1213,0.186214
split,single_train,image-span,3253,0.259804
split,single_train,question-span,3123,0.249421
split,single_train,multi-span,3087,0.246546
split,single_train,non-extractive,3058,0.24423
split,single_test,image-span,359,0.261281
split,single_test,non-extractive,342,0.248908
split,single_test,multi-span,341,0.24818
split,single_test,question-span,332,0.24163
split,multi_train,Multi-Image Spans,3124,0.531473
split,multi_train,Non-Span,1672,0.28445
split,multi_train,Cross-Image Synthesis,1082,0.184076
split,multi_test,Multi-Image Spans,321,0.504717
split,multi_test,Non-Span,184,0.289308
split,multi_test,Cross-Image Synthesis,131,0.205975
