level,scope_name,question_type,count,ratio,reasoning_mode
overall,overall,how_many,9252,0.453329,
overall,overall,which,5322,0.260767,
overall,overall,what,2653,0.129992,
overall,overall,compare,1648,0.080749,
overall,overall,other,579,0.02837,
overall,overall,when,431,0.021118,
overall,overall,list,292,0.014307,
overall,overall,count,232,0.011368,
overall,overall,,11567,0.56676,reasoning
overall,overall,,8842,0.43324,lookup
task_family,single,how_many,5491,0.395178,
task_family,single,which,4904,0.352933,
task_family,single,what,1784,0.128392,
task_family,single,other,565,0.040662,
task_family,single,when,346,0.024901,
task_family,single,compare,296,0.021303,
task_family,single,list,282,0.020295,
task_family,single,count,227,0.016337,
task_family,single,,8817,0.634545,lookup
task_family,single,,5078,0.365455,reasoning
task_family,multi,how_many,3761,0.577372,
task_family,multi,compare,1352,0.207553,
task_family,multi,what,869,0.133405,
task_family,multi,which,418,0.064169,
task_family,multi,when,85,0.013049,
task_family,multi,other,14,0.002149,
task_family,multi,list,10,0.001535,
task_family,multi,count,5,0.000768,
task_family,multi,,6489,0.996162,reasoning
task_family,multi,,25,0.003838,lookup
split,single_train,how_many,4947,0.395096,
split,single_train,which,4424,0.353326,
split,single_train,what,1608,0.128424,
split,single_train,other,496,0.039613,
split,single_train,when,317,0.025317,
split,single_train,compare,273,0.021803,
split,single_train,list,254,0.020286,
split,single_train,count,202,0.016133,
split,single_train,,7942,0.634294,lookup
split,single_train,,4579,0.365706,reasoning
split,single_test,how_many,544,0.395924,
split,single_test,which,480,0.349345,
split,single_test,what,176,0.128093,
split,single_test,other,69,0.050218,
split,single_test,when,29,0.021106,
split,single_test,list,28,0.020378,
split,single_test,count,25,0.018195,
split,single_test,compare,23,0.016739,
split,single_test,,875,0.636827,lookup
split,single_test,,499,0.363173,reasoning
split,multi_train,how_many,3389,0.576557,
split,multi_train,compare,1211,0.206022,
split,multi_train,what,783,0.133209,
split,multi_train,which,388,0.066009,
split,multi_train,when,79,0.01344,
split,multi_train,other,14,0.002382,
split,multi_train,list,10,0.001701,
split,multi_train,count,4,0.000681,
split,multi_train,,5853,0.995747,reasoning
split,multi_train,,25,0.004253,lookup
split,multi_test,how_many,372,0.584906,
split,multi_test,compare,141,0.221698,
split,multi_test,what,86,0.13522,
split,multi_test,which,30,0.04717,
split,multi_test,when,6,0.009434,
split,multi_test,count,1,0.001572,
split,multi_test,,636,1.0,reasoning
