level,scope_name,tokenization_flag,count,sample_ratio
overall,overall,none,9340,0.457641
overall,overall,date_time_currency,5743,0.281395
overall,overall,slash_form,5215,0.255525
overall,overall,multi_span_delimiter,4290,0.210201
overall,overall,hyphen_form,3973,0.194669
overall,overall,abbreviation,3692,0.180901
overall,overall,numeric_unit_compact,2765,0.135479
task_family,single,none,8613,0.619863
task_family,single,date_time_currency,2652,0.19086
task_family,single,hyphen_form,2428,0.174739
task_family,single,slash_form,2294,0.165095
task_family,single,numeric_unit_compact,1768,0.12724
task_family,single,abbreviation,1200,0.086362
task_family,single,multi_span_delimiter,47,0.003383
task_family,multi,multi_span_delimiter,4243,0.651366
task_family,multi,date_time_currency,3091,0.474516
task_family,multi,slash_form,2921,0.448419
task_family,multi,abbreviation,2492,0.382561
task_family,multi,hyphen_form,1545,0.237181
task_family,multi,numeric_unit_compact,997,0.153055
task_family,multi,none,727,0.111606
split,single_train,none,7770,0.620557
split,single_train,date_time_currency,2400,0.191678
split,single_train,hyphen_form,2191,0.174986
split,single_train,slash_form,2090,0.16692
split,single_train,numeric_unit_compact,1604,0.128105
split,single_train,abbreviation,1046,0.08354
split,single_train,multi_span_delimiter,39,0.003115
split,single_test,none,843,0.613537
split,single_test,date_time_currency,252,0.183406
split,single_test,hyphen_form,237,0.172489
split,single_test,slash_form,204,0.148472
split,single_test,numeric_unit_compact,164,0.11936
split,single_test,abbreviation,154,0.112082
split,single_test,multi_span_delimiter,8,0.005822
split,multi_train,multi_span_delimiter,3829,0.651412
split,multi_train,date_time_currency,2795,0.475502
split,multi_train,slash_form,2650,0.450834
split,multi_train,abbreviation,2283,0.388397
split,multi_train,hyphen_form,1398,0.237836
split,multi_train,numeric_unit_compact,918,0.156176
split,multi_train,none,645,0.109731
split,multi_test,multi_span_delimiter,414,0.650943
split,multi_test,date_time_currency,296,0.465409
split,multi_test,slash_form,271,0.426101
split,multi_test,abbreviation,209,0.328616
split,multi_test,hyphen_form,147,0.231132
split,multi_test,none,82,0.128931
split,multi_test,numeric_unit_compact,79,0.124214
