level,scope_name,diacritic_consistency,count,ratio
overall,overall,both_with_diacritics,10164,0.498016
overall,overall,question_text_with_diacritics,8389,0.411044
overall,overall,answer_missing_diacritics,1854,0.090842
overall,overall,question_text_without_diacritics,1,4.9e-05
overall,overall,normalization_suspect,1,4.9e-05
task_family,single,both_with_diacritics,7669,0.551925
task_family,single,question_text_with_diacritics,4722,0.339834
task_family,single,answer_missing_diacritics,1503,0.108168
task_family,single,question_text_without_diacritics,1,7.2e-05
task_family,multi,question_text_with_diacritics,3667,0.562941
task_family,multi,both_with_diacritics,2495,0.383021
task_family,multi,answer_missing_diacritics,351,0.053884
task_family,multi,normalization_suspect,1,0.000154
split,single_train,both_with_diacritics,6935,0.553869
split,single_train,question_text_with_diacritics,4233,0.338072
split,single_train,answer_missing_diacritics,1352,0.107979
split,single_train,question_text_without_diacritics,1,8e-05
split,single_test,both_with_diacritics,734,0.534207
split,single_test,question_text_with_diacritics,489,0.355895
split,single_test,answer_missing_diacritics,151,0.109898
split,multi_train,question_text_with_diacritics,3303,0.561926
split,multi_train,both_with_diacritics,2247,0.382273
split,multi_train,answer_missing_diacritics,327,0.055631
split,multi_train,normalization_suspect,1,0.00017
split,multi_test,question_text_with_diacritics,364,0.572327
split,multi_test,both_with_diacritics,248,0.389937
split,multi_test,answer_missing_diacritics,24,0.037736
