level,scope_name,answer_type,count,ratio
overall,overall,text_span_like,8336,0.408447
overall,overall,number,8201,0.401833
overall,overall,entity_like,3670,0.179823
overall,overall,other,202,0.009898
task_family,single,text_span_like,6448,0.464052
task_family,single,number,4635,0.333573
task_family,single,entity_like,2801,0.201583
task_family,single,other,11,0.000792
task_family,multi,number,3566,0.547436
task_family,multi,text_span_like,1888,0.289837
task_family,multi,entity_like,869,0.133405
task_family,multi,other,191,0.029321
split,single_train,text_span_like,5840,0.466416
split,single_train,number,4163,0.332481
split,single_train,entity_like,2507,0.200224
split,single_train,other,11,0.000879
split,single_test,text_span_like,608,0.442504
split,single_test,number,472,0.343523
split,single_test,entity_like,294,0.213974
split,multi_train,number,3211,0.546274
split,multi_train,text_span_like,1689,0.287343
split,multi_train,entity_like,796,0.13542
split,multi_train,other,182,0.030963
split,multi_test,number,355,0.558176
split,multi_test,text_span_like,199,0.312893
split,multi_test,entity_like,73,0.11478
split,multi_test,other,9,0.014151
