question_id,split_name,image_count,answer_source
5560,multi_train,4,Cross-Image Synthesis
5561,multi_train,4,Non-Span
5562,multi_train,4,Non-Span
5563,multi_train,4,Multi-Image Spans
5564,multi_train,4,Cross-Image Synthesis
181,multi_train,3,Multi-Image Spans
182,multi_train,3,Multi-Image Spans
183,multi_train,3,Multi-Image Spans
185,multi_train,3,Non-Span
184,multi_train,3,Multi-Image Spans
8087,multi_train,2,Non-Span
8088,multi_train,2,Cross-Image Synthesis
8089,multi_train,2,Multi-Image Spans
8090,multi_train,2,Multi-Image Spans
8937,multi_train,3,Multi-Image Spans
8938,multi_train,3,Multi-Image Spans
7367,multi_train,3,Multi-Image Spans
7368,multi_train,3,Multi-Image Spans
7369,multi_train,3,Non-Span
7798,multi_train,2,Multi-Image Spans
7799,multi_train,2,Multi-Image Spans
7800,multi_train,2,Non-Span
8284,multi_train,2,Multi-Image Spans
8286,multi_train,2,Multi-Image Spans
1080,multi_train,2,Multi-Image Spans
1961,multi_train,3,Multi-Image Spans
1962,multi_train,3,Multi-Image Spans
1964,multi_train,3,Non-Span
1965,multi_train,3,Multi-Image Spans
7659,multi_train,3,Multi-Image Spans
4346,multi_train,2,Multi-Image Spans
4347,multi_train,2,Multi-Image Spans
9509,multi_train,3,Cross-Image Synthesis
9512,multi_train,3,Multi-Image Spans
9510,multi_train,3,Cross-Image Synthesis
9511,multi_train,3,Non-Span
4828,multi_train,3,Cross-Image Synthesis
4830,multi_train,3,Multi-Image Spans
4831,multi_train,3,Multi-Image Spans
4832,multi_train,3,Non-Span
4833,multi_train,3,Multi-Image Spans
4838,multi_train,3,Multi-Image Spans
4834,multi_train,3,Multi-Image Spans
4835,multi_train,3,Multi-Image Spans
6421,multi_train,2,Multi-Image Spans
6422,multi_train,2,Cross-Image Synthesis
6423,multi_train,2,Multi-Image Spans
345,multi_train,2,Non-Span
348,multi_train,2,Multi-Image Spans
349,multi_train,2,Multi-Image Spans
350,multi_train,2,Non-Span
351,multi_train,2,Multi-Image Spans
354,multi_train,2,Multi-Image Spans
671,multi_train,3,Multi-Image Spans
670,multi_train,3,Non-Span
665,multi_train,3,Multi-Image Spans
666,multi_train,3,Multi-Image Spans
667,multi_train,3,Cross-Image Synthesis
668,multi_train,3,Non-Span
662,multi_train,3,Multi-Image Spans
664,multi_train,3,Multi-Image Spans
661,multi_train,3,Non-Span
663,multi_train,3,Cross-Image Synthesis
8518,multi_train,3,Non-Span
8519,multi_train,3,Non-Span
8520,multi_train,3,Multi-Image Spans
8521,multi_train,3,Multi-Image Spans
8522,multi_train,3,Multi-Image Spans
8523,multi_train,3,Non-Span
8524,multi_train,3,Cross-Image Synthesis
8525,multi_train,3,Multi-Image Spans
8526,multi_train,3,Multi-Image Spans
8515,multi_train,3,Cross-Image Synthesis
8517,multi_train,3,Multi-Image Spans
577,multi_train,3,Multi-Image Spans
579,multi_train,3,Multi-Image Spans
572,multi_train,3,Multi-Image Spans
573,multi_train,3,Multi-Image Spans
574,multi_train,3,Multi-Image Spans
575,multi_train,3,Non-Span
576,multi_train,3,Multi-Image Spans
7579,multi_train,2,Non-Span
7580,multi_train,2,Multi-Image Spans
4418,multi_train,3,Non-Span
4419,multi_train,3,Non-Span
4420,multi_train,3,Cross-Image Synthesis
4422,multi_train,3,Cross-Image Synthesis
5515,multi_train,3,Non-Span
5516,multi_train,3,Multi-Image Spans
5517,multi_train,3,Cross-Image Synthesis
5518,multi_train,3,Non-Span
5519,multi_train,3,Multi-Image Spans
5520,multi_train,3,Non-Span
4217,multi_train,3,Multi-Image Spans
4218,multi_train,3,Non-Span
4219,multi_train,3,Multi-Image Spans
4213,multi_train,3,Multi-Image Spans
4207,multi_train,3,Multi-Image Spans
4211,multi_train,3,Multi-Image Spans
840,multi_train,2,Multi-Image Spans
836,multi_train,2,Non-Span
837,multi_train,2,Non-Span
838,multi_train,2,Cross-Image Synthesis
839,multi_train,2,Multi-Image Spans
2575,multi_train,3,Non-Span
2576,multi_train,3,Cross-Image Synthesis
2578,multi_train,3,Multi-Image Spans
2570,multi_train,3,Cross-Image Synthesis
2572,multi_train,3,Cross-Image Synthesis
2573,multi_train,3,Multi-Image Spans
2574,multi_train,3,Non-Span
8604,multi_train,3,Cross-Image Synthesis
8605,multi_train,3,Cross-Image Synthesis
8606,multi_train,3,Multi-Image Spans
8607,multi_train,3,Non-Span
7031,multi_train,3,Multi-Image Spans
5328,multi_train,4,Multi-Image Spans
5329,multi_train,4,Multi-Image Spans
9389,multi_train,3,Cross-Image Synthesis
9390,multi_train,3,Non-Span
9391,multi_train,3,Multi-Image Spans
9392,multi_train,3,Multi-Image Spans
9393,multi_train,3,Cross-Image Synthesis
8299,multi_train,2,Non-Span
5972,multi_train,3,Multi-Image Spans
5974,multi_train,3,Multi-Image Spans
5969,multi_train,3,Non-Span
5965,multi_train,3,Multi-Image Spans
8887,multi_train,3,Multi-Image Spans
8885,multi_train,3,Multi-Image Spans
4327,multi_train,2,Multi-Image Spans
4328,multi_train,2,Multi-Image Spans
4329,multi_train,2,Non-Span
4330,multi_train,2,Multi-Image Spans
12,multi_train,4,Non-Span
13,multi_train,4,Multi-Image Spans
15,multi_train,4,Multi-Image Spans
17,multi_train,4,Multi-Image Spans
14,multi_train,4,Non-Span
16,multi_train,4,Multi-Image Spans
4337,multi_train,3,Non-Span
4338,multi_train,3,Multi-Image Spans
4339,multi_train,3,Non-Span
4340,multi_train,3,Multi-Image Spans
7513,multi_train,2,Multi-Image Spans
4275,multi_train,3,Non-Span
4276,multi_train,3,Multi-Image Spans
4277,multi_train,3,Cross-Image Synthesis
4278,multi_train,3,Non-Span
4279,multi_train,3,Non-Span
