question_id,split_name,task_family,tokenization_flags,flag_count
27333,single_train,single,abbreviation;numeric_unit_compact,2
27326,single_train,single,abbreviation,1
27325,single_train,single,abbreviation,1
27328,single_train,single,abbreviation,1
27327,single_train,single,abbreviation,1
27323,single_train,single,abbreviation,1
27329,single_train,single,abbreviation,1
83960,single_train,single,none,1
83965,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
83966,single_train,single,none,1
83956,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
83962,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
83959,single_train,single,abbreviation;date_time_currency;hyphen_form;slash_form,4
83964,single_train,single,date_time_currency;hyphen_form,2
83963,single_train,single,none,1
83961,single_train,single,none,1
83955,single_train,single,abbreviation;date_time_currency;hyphen_form,3
83958,single_train,single,abbreviation;hyphen_form,2
83957,single_train,single,abbreviation;hyphen_form,2
69070,single_train,single,numeric_unit_compact,1
69065,single_train,single,none,1
69067,single_train,single,abbreviation;date_time_currency;numeric_unit_compact;slash_form,4
69061,single_train,single,none,1
69062,single_train,single,abbreviation;date_time_currency;numeric_unit_compact;slash_form,4
69071,single_train,single,none,1
69069,single_train,single,none,1
69068,single_train,single,none,1
69066,single_train,single,none,1
69063,single_train,single,none,1
165261,single_train,single,date_time_currency;slash_form,2
165266,single_train,single,none,1
165263,single_train,single,none,1
165264,single_train,single,hyphen_form,1
165265,single_train,single,none,1
165262,single_train,single,none,1
165260,single_train,single,none,1
127015,single_train,single,date_time_currency;hyphen_form;slash_form,3
127018,single_train,single,date_time_currency;slash_form,2
127019,single_train,single,date_time_currency;slash_form,2
127021,single_train,single,none,1
127017,single_train,single,date_time_currency;slash_form,2
127023,single_train,single,date_time_currency;slash_form,2
127016,single_train,single,date_time_currency;slash_form,2
127014,single_train,single,hyphen_form,1
127022,single_train,single,none,1
100254,single_train,single,none,1
100253,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
100260,single_train,single,none,1
100258,single_train,single,date_time_currency;hyphen_form;numeric_unit_compact;slash_form,4
2901,single_train,single,none,1
2907,single_train,single,none,1
2902,single_train,single,none,1
2899,single_train,single,none,1
2905,single_train,single,none,1
2898,single_train,single,none,1
217,single_train,single,none,1
221,single_train,single,abbreviation,1
214,single_train,single,abbreviation,1
99903,single_train,single,none,1
99899,single_train,single,none,1
99902,single_train,single,none,1
99897,single_train,single,none,1
99900,single_train,single,none,1
164926,single_train,single,slash_form,1
164929,single_train,single,date_time_currency;slash_form,2
164923,single_train,single,none,1
164920,single_train,single,none,1
164924,single_train,single,date_time_currency;slash_form,2
164927,single_train,single,none,1
164921,single_train,single,none,1
113971,single_train,single,date_time_currency;hyphen_form,2
113969,single_train,single,none,1
113967,single_train,single,date_time_currency;slash_form,2
113970,single_train,single,date_time_currency;slash_form,2
113972,single_train,single,date_time_currency;hyphen_form,2
113973,single_train,single,none,1
113968,single_train,single,date_time_currency;hyphen_form,2
113976,single_train,single,none,1
104318,single_train,single,none,1
104313,single_train,single,none,1
104315,single_train,single,none,1
104320,single_train,single,none,1
104317,single_train,single,none,1
104314,single_train,single,none,1
104312,single_train,single,none,1
104311,single_train,single,none,1
104316,single_train,single,none,1
40689,single_train,single,hyphen_form,1
40693,single_train,single,slash_form,1
40690,single_train,single,none,1
40691,single_train,single,hyphen_form;slash_form,2
40692,single_train,single,none,1
40688,single_train,single,slash_form,1
40687,single_train,single,hyphen_form,1
46120,single_train,single,abbreviation;date_time_currency;slash_form,3
46113,single_train,single,date_time_currency;numeric_unit_compact;slash_form,3
46116,single_train,single,date_time_currency;slash_form,2
46118,single_train,single,date_time_currency;slash_form,2
46119,single_train,single,none,1
46114,single_train,single,abbreviation;date_time_currency;slash_form,3
41699,single_train,single,none,1
41708,single_train,single,none,1
41703,single_train,single,none,1
41704,single_train,single,none,1
41707,single_train,single,none,1
41701,single_train,single,none,1
41700,single_train,single,none,1
41702,single_train,single,hyphen_form,1
41705,single_train,single,none,1
112048,single_train,single,none,1
112046,single_train,single,none,1
112043,single_train,single,none,1
112051,single_train,single,none,1
112044,single_train,single,date_time_currency;slash_form,2
112050,single_train,single,none,1
112047,single_train,single,none,1
112045,single_train,single,abbreviation;hyphen_form,2
112042,single_train,single,none,1
112049,single_train,single,none,1
116171,single_train,single,none,1
116169,single_train,single,date_time_currency;slash_form,2
116174,single_train,single,none,1
116173,single_train,single,hyphen_form,1
116175,single_train,single,date_time_currency;hyphen_form,2
116170,single_train,single,date_time_currency;hyphen_form,2
116176,single_train,single,date_time_currency;slash_form,2
116172,single_train,single,none,1
47988,single_train,single,none,1
47984,single_train,single,hyphen_form;numeric_unit_compact,2
