question_id,split_name,task_family,diacritic_consistency,question_has_diacritics,answer_has_diacritics,question_normalization_suspect,answer_normalization_suspect
27333,single_train,single,both_with_diacritics,True,True,False,False
27326,single_train,single,question_text_with_diacritics,True,False,False,False
27325,single_train,single,both_with_diacritics,True,True,False,False
27328,single_train,single,answer_missing_diacritics,True,False,False,False
27327,single_train,single,both_with_diacritics,True,True,False,False
27323,single_train,single,both_with_diacritics,True,True,False,False
27329,single_train,single,both_with_diacritics,True,True,False,False
83960,single_train,single,both_with_diacritics,True,True,False,False
83965,single_train,single,question_text_with_diacritics,True,False,False,False
83966,single_train,single,question_text_with_diacritics,True,False,False,False
83956,single_train,single,both_with_diacritics,True,True,False,False
83962,single_train,single,question_text_with_diacritics,True,False,False,False
83959,single_train,single,both_with_diacritics,True,True,False,False
83964,single_train,single,question_text_with_diacritics,True,False,False,False
83963,single_train,single,question_text_with_diacritics,True,False,False,False
83961,single_train,single,both_with_diacritics,True,True,False,False
83955,single_train,single,both_with_diacritics,True,True,False,False
83958,single_train,single,question_text_with_diacritics,True,False,False,False
83957,single_train,single,both_with_diacritics,True,True,False,False
69070,single_train,single,both_with_diacritics,True,True,False,False
69065,single_train,single,both_with_diacritics,True,True,False,False
69067,single_train,single,both_with_diacritics,True,True,False,False
69061,single_train,single,both_with_diacritics,True,True,False,False
69062,single_train,single,both_with_diacritics,True,True,False,False
69071,single_train,single,both_with_diacritics,True,True,False,False
69069,single_train,single,answer_missing_diacritics,True,False,False,False
69068,single_train,single,question_text_with_diacritics,True,False,False,False
69066,single_train,single,both_with_diacritics,True,True,False,False
69063,single_train,single,both_with_diacritics,True,True,False,False
165261,single_train,single,both_with_diacritics,True,True,False,False
165266,single_train,single,answer_missing_diacritics,True,False,False,False
165263,single_train,single,both_with_diacritics,True,True,False,False
165264,single_train,single,both_with_diacritics,True,True,False,False
165265,single_train,single,question_text_with_diacritics,True,False,False,False
165262,single_train,single,question_text_with_diacritics,True,False,False,False
165260,single_train,single,answer_missing_diacritics,True,False,False,False
127015,single_train,single,both_with_diacritics,True,True,False,False
127018,single_train,single,both_with_diacritics,True,True,False,False
127019,single_train,single,question_text_with_diacritics,True,False,False,False
127021,single_train,single,both_with_diacritics,True,True,False,False
127017,single_train,single,both_with_diacritics,True,True,False,False
127023,single_train,single,question_text_with_diacritics,True,False,False,False
127016,single_train,single,question_text_with_diacritics,True,False,False,False
127014,single_train,single,both_with_diacritics,True,True,False,False
127022,single_train,single,both_with_diacritics,True,True,False,False
100254,single_train,single,question_text_with_diacritics,True,False,False,False
100253,single_train,single,answer_missing_diacritics,True,False,False,False
100260,single_train,single,question_text_with_diacritics,True,False,False,False
100258,single_train,single,question_text_with_diacritics,True,False,False,False
2901,single_train,single,question_text_with_diacritics,True,False,False,False
2907,single_train,single,both_with_diacritics,True,True,False,False
2902,single_train,single,both_with_diacritics,True,True,False,False
2899,single_train,single,both_with_diacritics,True,True,False,False
2905,single_train,single,question_text_with_diacritics,True,False,False,False
2898,single_train,single,both_with_diacritics,True,True,False,False
217,single_train,single,question_text_with_diacritics,True,False,False,False
221,single_train,single,both_with_diacritics,True,True,False,False
214,single_train,single,both_with_diacritics,True,True,False,False
99903,single_train,single,question_text_with_diacritics,True,False,False,False
99899,single_train,single,question_text_with_diacritics,True,False,False,False
99902,single_train,single,question_text_with_diacritics,True,False,False,False
