question_id,split_name,task_family,question_type,reasoning_mode
27333,single_train,single,what,lookup
27326,single_train,single,how_many,reasoning
27325,single_train,single,when,lookup
27328,single_train,single,which,lookup
27327,single_train,single,which,lookup
27323,single_train,single,which,lookup
27329,single_train,single,which,lookup
83960,single_train,single,what,lookup
83965,single_train,single,how_many,reasoning
83966,single_train,single,how_many,reasoning
83956,single_train,single,how_many,reasoning
83962,single_train,single,how_many,reasoning
83959,single_train,single,how_many,reasoning
83964,single_train,single,how_many,reasoning
83963,single_train,single,how_many,lookup
83961,single_train,single,how_many,reasoning
83955,single_train,single,list,reasoning
83958,single_train,single,count,lookup
83957,single_train,single,which,reasoning
69070,single_train,single,what,lookup
69065,single_train,single,which,lookup
69067,single_train,single,what,lookup
69061,single_train,single,how_many,lookup
69062,single_train,single,which,lookup
69071,single_train,single,how_many,lookup
69069,single_train,single,what,lookup
69068,single_train,single,how_many,reasoning
69066,single_train,single,other,lookup
69063,single_train,single,how_many,lookup
165261,single_train,single,when,lookup
165266,single_train,single,what,lookup
165263,single_train,single,what,lookup
165264,single_train,single,which,lookup
165265,single_train,single,how_many,reasoning
165262,single_train,single,how_many,reasoning
165260,single_train,single,what,lookup
127015,single_train,single,which,lookup
127018,single_train,single,other,lookup
127019,single_train,single,how_many,reasoning
127021,single_train,single,other,lookup
127017,single_train,single,which,lookup
127023,single_train,single,how_many,reasoning
127016,single_train,single,how_many,reasoning
127014,single_train,single,other,lookup
127022,single_train,single,which,lookup
100254,single_train,single,how_many,reasoning
100253,single_train,single,when,lookup
100260,single_train,single,how_many,reasoning
100258,single_train,single,how_many,reasoning
2901,single_train,single,how_many,reasoning
2907,single_train,single,what,lookup
2902,single_train,single,what,lookup
2899,single_train,single,what,lookup
2905,single_train,single,how_many,reasoning
2898,single_train,single,what,lookup
217,single_train,single,how_many,reasoning
221,single_train,single,which,lookup
214,single_train,single,which,lookup
99903,single_train,single,how_many,reasoning
99899,single_train,single,how_many,reasoning
99902,single_train,single,which,lookup
99897,single_train,single,compare,reasoning
99900,single_train,single,how_many,lookup
164926,single_train,single,how_many,lookup
164929,single_train,single,when,lookup
164923,single_train,single,how_many,reasoning
164920,single_train,single,how_many,lookup
164924,single_train,single,which,lookup
164927,single_train,single,which,reasoning
164921,single_train,single,which,lookup
113971,single_train,single,compare,reasoning
113969,single_train,single,how_many,reasoning
113967,single_train,single,how_many,reasoning
113970,single_train,single,how_many,reasoning
113972,single_train,single,how_many,lookup
113973,single_train,single,how_many,reasoning
113968,single_train,single,which,lookup
113976,single_train,single,how_many,reasoning
104318,single_train,single,how_many,reasoning
104313,single_train,single,which,lookup
104315,single_train,single,which,lookup
104320,single_train,single,which,lookup
104317,single_train,single,which,lookup
104314,single_train,single,how_many,reasoning
104312,single_train,single,which,lookup
104311,single_train,single,which,lookup
104316,single_train,single,which,lookup
40689,single_train,single,which,lookup
40693,single_train,single,how_many,reasoning
40690,single_train,single,how_many,reasoning
40691,single_train,single,other,lookup
40692,single_train,single,which,lookup
40688,single_train,single,other,lookup
40687,single_train,single,which,lookup
46120,single_train,single,how_many,lookup
46113,single_train,single,how_many,lookup
46116,single_train,single,which,lookup
46118,single_train,single,how_many,reasoning
46119,single_train,single,what,lookup
46114,single_train,single,which,lookup
41699,single_train,single,which,lookup
41708,single_train,single,how_many,reasoning
41703,single_train,single,which,lookup
41704,single_train,single,which,lookup
41707,single_train,single,which,lookup
41701,single_train,single,which,lookup
41700,single_train,single,what,lookup
41702,single_train,single,how_many,reasoning
41705,single_train,single,how_many,reasoning
112048,single_train,single,which,lookup
112046,single_train,single,which,lookup
112043,single_train,single,count,lookup
112051,single_train,single,which,lookup
112044,single_train,single,which,lookup
112050,single_train,single,count,lookup
112047,single_train,single,count,lookup
112045,single_train,single,how_many,reasoning
112042,single_train,single,how_many,lookup
112049,single_train,single,how_many,reasoning
116171,single_train,single,how_many,lookup
116169,single_train,single,how_many,reasoning
116174,single_train,single,how_many,reasoning
116173,single_train,single,which,lookup
116175,single_train,single,how_many,reasoning
116170,single_train,single,which,lookup
116176,single_train,single,how_many,lookup
116172,single_train,single,how_many,reasoning
47988,single_train,single,how_many,reasoning
47984,single_train,single,which,lookup
47982,single_train,single,other,lookup
47985,single_train,single,how_many,lookup
37303,single_train,single,how_many,reasoning
37304,single_train,single,what,lookup
37298,single_train,single,compare,lookup
37301,single_train,single,how_many,reasoning
37302,single_train,single,which,lookup
37299,single_train,single,which,lookup
37305,single_train,single,other,lookup
37297,single_train,single,which,lookup
37300,single_train,single,how_many,reasoning
153844,single_train,single,what,lookup
153838,single_train,single,how_many,reasoning
153841,single_train,single,how_many,reasoning
153836,single_train,single,which,lookup
153840,single_train,single,when,reasoning
153839,single_train,single,how_many,reasoning
153843,single_train,single,other,lookup
153837,single_train,single,how_many,reasoning
110748,single_train,single,which,lookup
110746,single_train,single,how_many,reasoning
110751,single_train,single,how_many,lookup
110749,single_train,single,how_many,reasoning
110744,single_train,single,how_many,reasoning
110752,single_train,single,how_many,reasoning
110747,single_train,single,how_many,reasoning
37397,single_train,single,which,lookup
37400,single_train,single,how_many,reasoning
37401,single_train,single,what,lookup
37405,single_train,single,which,lookup
37399,single_train,single,which,lookup
122732,single_train,single,what,lookup
122724,single_train,single,what,lookup
122734,single_train,single,how_many,lookup
122731,single_train,single,how_many,lookup
122727,single_train,single,which,reasoning
122729,single_train,single,which,lookup
122733,single_train,single,how_many,lookup
122725,single_train,single,what,reasoning
122730,single_train,single,other,lookup
122726,single_train,single,list,lookup
122728,single_train,single,which,lookup
56234,single_train,single,which,lookup
56237,single_train,single,which,lookup
56238,single_train,single,how_many,lookup
56233,single_train,single,which,lookup
56235,single_train,single,other,lookup
49140,single_train,single,how_many,lookup
49143,single_train,single,how_many,lookup
49137,single_train,single,which,lookup
49136,single_train,single,which,lookup
49142,single_train,single,how_many,lookup
49139,single_train,single,how_many,lookup
49135,single_train,single,what,reasoning
49141,single_train,single,how_many,lookup
49138,single_train,single,which,lookup
33016,single_train,single,when,lookup
33013,single_train,single,what,lookup
33014,single_train,single,which,lookup
33012,single_train,single,how_many,lookup
33017,single_train,single,when,lookup
33018,single_train,single,how_many,reasoning
65143,single_train,single,which,lookup
65144,single_train,single,how_many,reasoning
65145,single_train,single,what,lookup
65151,single_train,single,how_many,reasoning
65148,single_train,single,how_many,reasoning
65142,single_train,single,what,reasoning
65141,single_train,single,which,lookup
65146,single_train,single,which,reasoning
65149,single_train,single,what,lookup
65147,single_train,single,which,lookup
46564,single_train,single,which,lookup
46566,single_train,single,which,lookup
46565,single_train,single,which,lookup
46567,single_train,single,how_many,reasoning
46571,single_train,single,how_many,reasoning
15194,single_train,single,other,lookup
15196,single_train,single,how_many,reasoning
15197,single_train,single,what,lookup
15195,single_train,single,which,lookup
15200,single_train,single,how_many,reasoning
15199,single_train,single,which,lookup
154019,single_train,single,which,lookup
